,Model,Date,Version,Set,Accuracy,Precision,Recall,F1
0,resnet50,14-01-2021,1,2,78.28863346104725,0.7214137214137214,0.7735176103432903,0.7465576592082616
1,resnet50,15-01-2021,2,2,76.85185185185185,0.7166955017301038,0.7387427552385198,0.7275521405049395
2,resnet50,15-01-2021,3,1,82.91245791245791,0.8374233128834356,0.8281092012133469,0.8327402135231317
3,resnet50,15-01-2021,4,1,83.33333333333334,0.8338308457711443,0.8473205257836198,0.8405215646940822
4,resnet50,16-01-2021,1,2,76.11749680715198,0.717081125152874,0.7842175657601427,0.7491482112436115
5,resnet50,16-01-2021,2,3,75.59912854030502,0.7605529498889163,0.73409578270193,0.7470902036857419
6,resnet50,16-01-2021,3,1,85.14309764309766,0.8287841191066998,0.8442871587462083,0.8364638116704234
7,resnet50,16-01-2021,4,1,85.85858585858584,0.8288973384030418,0.8816986855409504,0.854483096521313
8,resnet50,16-01-2021,5,2,76.30906768837805,0.7192710352849941,0.8270173874275524,0.7693902944836167
9,resnet50,16-01-2021,6,3,77.74146695715322,0.7585651873994022,0.7860376459375744,0.7720571027381231
10,resnet50,16-01-2021,7,2,65.32567049808429,0.713639301874596,0.49219794917521176,0.5825857519788917
11,resnet50,18-01-2021,1,3,74.7276688453159,0.7579109853357345,0.7019299499642602,0.7288471053933696
12,resnet50,19-01-2021,1,2,77.45849297573434,0.7095297544735747,0.7601426660722247,0.7339647008179078
13,resnet50,19-01-2021,2,3,77.06971677559913,0.764378927017883,0.7536335477722182,0.7589682063587283
14,resnet50,19-01-2021,4,3,79.57516339869281,0.7616977225672877,0.8765785084584227,0.8151102248809129
15,resnet50,19-01-2021,5,1,87.12121212121212,0.8456237077877325,0.9149888143176734,0.8789398280802292
16,resnet50,19-01-2021,6,1,85.5429292929293,0.8489736070381232,0.8635346756152126,0.856192236598891
17,resnet50,20-01-2021,1,2,79.83716475095784,0.7139272271016311,0.7612040133779264,0.7368080284881838
18,resnet50,20-01-2021,2,2,74.76053639846744,0.7153532608695652,0.7043478260869566,0.7098078867542972
19,resnet50,20-01-2021,3,3,79.13943355119825,0.7668974612594791,0.832796276405299,0.7984895296944732
20,resnet50,20-01-2021,4,3,78.81263616557735,0.7588215142171977,0.7930540637307555,0.7755602240896359
