,Model,Date,Version,Set,True Positive,False Negatives,False Positives,True Negatives
0,inceptionv3,25-01-2021,1,1,41,0,12,0
1,inceptionv3,25-01-2021,2,2,38,7,24,1
2,inceptionv3,27-01-21,1,1,40,1,12,0
3,inceptionv3,27-01-21,2,3,71,23,21,8
4,inceptionv3,27-01-21,3,2,40,5,19,6
5,mobilenetv2,22-01-2021,1,1,1148,193,202,41
6,mobilenetv2,22-01-2021,2,1,1215,126,219,24
7,mobilenetv2,22-01-2021,3,2,1125,370,439,154
8,mobilenetv2,22-01-2021,4,2,1092,403,441,152
9,mobilenetv2,23-01-2021,1,3,2337,456,738,141
10,mobilenetv2,23-01-2021,2,3,2212,581,703,176
11,resnet50,14-01-2021,1,2,1735,508,670,219
12,resnet50,15-01-2021,2,2,1657,586,655,234
13,resnet50,15-01-2021,3,1,1638,340,318,80
14,resnet50,15-01-2021,4,1,1676,302,334,64
15,resnet50,16-01-2021,1,2,1759,484,694,195
16,resnet50,16-01-2021,2,3,3081,1116,970,341
17,resnet50,16-01-2021,3,1,1670,308,345,53
18,resnet50,16-01-2021,4,1,1744,234,360,38
19,resnet50,16-01-2021,5,2,1855,388,724,165
20,resnet50,16-01-2021,6,3,3299,898,1050,261
21,resnet50,16-01-2021,7,2,1104,1139,443,446
22,resnet50,18-01-2021,1,3,2946,1251,941,370
23,resnet50,19-01-2021,1,2,1705,538,698,191
24,resnet50,19-01-2021,2,3,3163,1034,975,336
25,resnet50,19-01-2021,4,3,3679,518,1151,160
26,resnet50,19-01-2021,5,1,1227,114,224,19
27,resnet50,19-01-2021,6,1,1158,183,206,37
28,resnet50,20-01-2021,1,2,1138,357,456,137
29,resnet50,20-01-2021,2,2,1053,442,419,174
30,resnet50,20-01-2021,3,3,2326,467,707,172
31,resnet50,20-01-2021,4,3,2215,578,704,175
32,resnet50,21-01-2021,1,3,4726,827,1503,288
33,resnet50,21-01-2021,2,3,5565,1394,1746,475
34,resnet50,21-01-2021,3,1,1185,156,217,26
35,resnet50,23-01-2021,3,3,2358,435,747,132
36,resnet50,23-01-2021,4,2,1146,349,467,126
